nr,coin,nazwa,rank_kapitalizacji,kapitalizacja_mld_usd,ile_gield,gieldy,grupa,uwagi
1,BTC,Bitcoin,1,1561.27,5,"bitget,binance,bybit,okx,gate",1,
2,ETH,Ethereum,2,307.81,5,"bitget,binance,bybit,okx,gate",1,
3,BNB,BNB,4,96.45,5,"bitget,binance,bybit,okx,gate",5,gieldowy - przywrocony
4,XRP,XRP,5,87.16,5,"bitget,binance,bybit,okx,gate",1,
5,SOL,Solana,7,59.57,5,"bitget,binance,bybit,okx,gate",1,
6,TRX,TRON,8,32.21,5,"bitget,binance,bybit,okx,gate",1,
7,ZEC,Zcash,9,19.27,5,"bitget,binance,bybit,okx,gate",8,
8,HYPE,Hyperliquid,10,17.74,5,"bitget,binance,bybit,okx,gate",9,token DEX
9,DOGE,Dogecoin,11,13.13,5,"bitget,binance,bybit,okx,gate",1,
10,XMR,Monero,14,9.67,4,"bitget,binance,bybit,gate",5,
11,LINK,Chainlink,16,8.52,5,"bitget,binance,bybit,okx,gate",3,
12,ADA,Cardano,18,7.89,5,"bitget,binance,bybit,okx,gate",1,
13,XLM,Stellar,19,6.43,5,"bitget,binance,bybit,okx,gate",1,
14,BCH,Bitcoin Cash,22,4.46,5,"bitget,binance,bybit,okx,gate",3,
15,LTC,Litecoin,24,4.18,5,"bitget,binance,bybit,okx,gate",6,
16,UNI,Uniswap,25,3.94,5,"bitget,binance,bybit,okx,gate",5,
17,CC,Canton,26,3.77,5,"bitget,binance,bybit,okx,gate",9,
18,GRAM,Gram (prev. Toncoin),27,3.76,5,"bitget,binance,bybit,okx,gate",8,
19,HBAR,Hedera,28,3.36,5,"bitget,binance,bybit,okx,gate",2,
20,AVAX,Avalanche,30,3.27,5,"bitget,binance,bybit,okx,gate",3,
21,NEAR,NEAR Protocol,31,3.16,5,"bitget,binance,bybit,okx,gate",8,
22,SHIB,Shiba Inu,32,3.08,4,"bitget,binance,okx,gate",1,
23,SUI,Sui,33,2.97,5,"bitget,binance,bybit,okx,gate",9,
24,TAO,Bittensor,38,2.67,5,"bitget,binance,bybit,okx,gate",8,
25,M,MemeCore,40,2.56,4,"bitget,binance,bybit,gate",7,
26,BTW,Bitway,44,2.06,4,"bitget,binance,bybit,gate",1,
27,AAVE,Aave,45,1.95,5,"bitget,binance,bybit,okx,gate",6,
28,ASTER,Aster,46,1.88,5,"bitget,binance,bybit,okx,gate",5,token DEX
29,WLFI,World Liberty Financial,49,1.82,5,"bitget,binance,bybit,okx,gate",5,
30,DOT,Polkadot,50,1.74,5,"bitget,binance,bybit,okx,gate",3,
31,ONDO,Ondo,51,1.73,5,"bitget,binance,bybit,okx,gate",2,
32,PUMP,Pump.fun,52,1.71,4,"bitget,binance,okx,gate",9,
33,ICP,Internet Computer,53,1.55,5,"bitget,binance,bybit,okx,gate",6,
34,MORPHO,Morpho,54,1.53,5,"bitget,binance,bybit,okx,gate",6,
35,SKY,Sky,57,1.47,5,"bitget,binance,bybit,okx,gate",3,
36,PEPE,Pepe,58,1.45,5,"bitget,binance,bybit,okx,gate",1,
37,ENA,Ethena,59,1.43,5,"bitget,binance,bybit,okx,gate",9,
38,WLD,Worldcoin,61,1.38,5,"bitget,binance,bybit,okx,gate",10,
39,ETC,Ethereum Classic,67,1.21,5,"bitget,binance,bybit,okx,gate",1,
40,LIT,Lighter,68,1.14,5,"bitget,binance,bybit,okx,gate",9,
41,VVV,Venice Token,69,1.11,5,"bitget,binance,bybit,okx,gate",7,
42,POL,POL (ex-MATIC),71,1.03,5,"bitget,binance,bybit,okx,gate",9,
43,JST,JUST,75,0.93,4,"bitget,binance,bybit,gate",1,
44,QNT,Quant,76,0.93,5,"bitget,binance,bybit,okx,gate",7,
45,KAS,Kaspa,77,0.93,4,"bitget,binance,bybit,gate",2,
46,ARB,Arbitrum,78,0.91,5,"bitget,binance,bybit,okx,gate",10,
47,ALGO,Algorand,80,0.88,5,"bitget,binance,bybit,okx,gate",7,
48,CAKE,PancakeSwap,81,0.87,4,"bitget,binance,bybit,gate",5,
49,ATOM,Cosmos Hub,82,0.85,5,"bitget,binance,bybit,okx,gate",7,
50,FIL,Filecoin,83,0.84,5,"bitget,binance,bybit,okx,gate",3,
51,JUP,Jupiter,86,0.78,5,"bitget,binance,bybit,okx,gate",10,
52,RENDER,Render,89,0.72,5,"bitget,binance,bybit,okx,gate",8,
53,DASH,Dash,92,0.69,5,"bitget,binance,bybit,okx,gate",8,
54,VET,VeChain,93,0.69,4,"bitget,binance,bybit,gate",1,
55,ETHFI,Ether.fi,94,0.63,5,"bitget,binance,bybit,okx,gate",6,
56,INJ,Injective,95,0.61,5,"bitget,binance,bybit,okx,gate",10,
57,AERO,Aerodrome Finance,97,0.56,5,"bitget,binance,bybit,okx,gate",10,
58,CRV,Curve DAO,101,0.55,5,"bitget,binance,bybit,okx,gate",7,
59,TRUMP,Official Trump,102,0.55,5,"bitget,binance,bybit,okx,gate",9,
60,APT,Aptos,104,0.52,5,"bitget,binance,bybit,okx,gate",10,
61,STX,Stacks,105,0.5,5,"bitget,binance,bybit,okx,gate",6,
62,SPX,SPX6900,110,0.46,5,"bitget,binance,bybit,okx,gate",4,
63,PENGU,Pudgy Penguins,112,0.45,5,"bitget,binance,bybit,okx,gate",8,
64,FF,Falcon Finance,114,0.45,4,"bitget,binance,bybit,gate",7,
65,PYTH,Pyth Network,115,0.44,5,"bitget,binance,bybit,okx,gate",5,
66,VIRTUAL,Virtuals Protocol,116,0.41,5,"bitget,binance,bybit,okx,gate",10,
67,PONS,Pons,117,0.4,5,"bitget,binance,bybit,okx,gate",,brak 50 dni danych 4h - bez grupy
68,FET,Artificial Superintelligence Alliance,118,0.39,4,"bitget,binance,okx,gate",10,
69,PENDLE,Pendle,119,0.39,5,"bitget,binance,bybit,okx,gate",6,
70,ZRO,LayerZero,121,0.37,5,"bitget,binance,bybit,okx,gate",4,
71,TIA,Celestia,122,0.35,5,"bitget,binance,bybit,okx,gate",10,
72,BSV,Bitcoin SV,123,0.34,4,"bitget,binance,bybit,gate",3,
73,NIGHT,Midnight,124,0.34,5,"bitget,binance,bybit,okx,gate",2,
74,AKE,Akedo,127,0.34,4,"bitget,binance,bybit,gate",7,
75,UB,Unibase,129,0.33,5,"bitget,binance,bybit,okx,gate",9,
76,SUN,Sun Token,130,0.33,4,"bitget,binance,bybit,gate",1,
77,PIEVERSE,Pieverse,132,0.32,5,"bitget,binance,bybit,okx,gate",2,
78,LDO,Lido DAO,135,0.31,5,"bitget,binance,bybit,okx,gate",6,
